"sector","name"
"Communication Services","Diversified Telecommunication Services"
"Communication Services","Entertainment"
"Communication Services","Media"
"Communication Services","Wireless Telecommunication Services"
"Consumer Discretionary","Advertising"
"Consumer Discretionary","Apparel"
"Consumer Discretionary","Appliances"
"Consumer Discretionary","Auto Components"
"Consumer Discretionary","Auto Dealerships"
"Consumer Discretionary","Automobiles"
"Consumer Discretionary","Automotive"
"Consumer Discretionary","Auto Parts"
"Consumer Discretionary","Building Materials"
"Consumer Discretionary","Business Equipment"
"Consumer Discretionary","Business Services"
"Consumer Discretionary","Carpeting"
"Consumer Discretionary","Consumer Goods"
"Consumer Discretionary","Department Stores"
"Consumer Discretionary","Distributors"
"Consumer Discretionary","Diversified Consumer Services"
"Consumer Discretionary","Drugs-Animal"
"Consumer Discretionary","Entertainment"
"Consumer Discretionary","Farm Products"
"Consumer Discretionary","Food Processing"
"Consumer Discretionary","Food Wholesale"
"Consumer Discretionary","Footwear"
"Consumer Discretionary","Funeral Products"
"Consumer Discretionary","Furniture/Bldg. Prod."
"Consumer Discretionary","Heating/AirConditioning"
"Consumer Discretionary","Home Furnishings"
"Consumer Discretionary","Horse Racing"
"Consumer Discretionary","Hotels, Restaurants & Leisure"
"Consumer Discretionary","Household Durables"
"Consumer Discretionary","Internet & Direct Marketing Retail"
"Consumer Discretionary","Leisure Products"
"Consumer Discretionary","Lodging"
"Consumer Discretionary","Machinery/Consumer"
"Consumer Discretionary","Media"
"Consumer Discretionary","MLP-Amusement Parks"
"Consumer Discretionary","Multiline Retail"
"Consumer Discretionary","Paper Products"
"Consumer Discretionary","Personal Products"
"Consumer Discretionary","Pool Supplies"
"Consumer Discretionary","Publishing"
"Consumer Discretionary","Recreation"
"Consumer Discretionary","Recreational Goods"
"Consumer Discretionary","Recreational Vehicles"
"Consumer Discretionary","Resorts and Casinos"
"Consumer Discretionary","Restaurants"
"Consumer Discretionary","Retail-Apparel"
"Consumer Discretionary","Retail-Dept. Stores"
"Consumer Discretionary","Retail-Discount"
"Consumer Discretionary","Retail-Electronic"
"Consumer Discretionary","Retail-Home Improv."
"Consumer Discretionary","Retail-Home Products"
"Consumer Discretionary","Retail-Jewelry"
"Consumer Discretionary","Retail-Rental"
"Consumer Discretionary","Retail-Specialty"
"Consumer Discretionary","Rubber & Plastics"
